AudioEncryptionFrame	AENC 	Audio Encryption Frame 	AudioEncryptionFrame(AENC)
CommentFrame	COMM 	Comments 	Comments(COMM)
MusicCDIdentfierFrame	MCDI 	Music CD Identifier Frame 	MusicCDIdentifierFrame(MCDI)
PictureFrame	APIC 	Picture Frame 	PictureFrame(APIC)
PlayCounterFrame	PCNT 	Play counter 	Playcounter(PCNT)
PopularimeterFrame	POPM 	Popularimeter 	Popularimeter(POPM)
PrivateFrame	PRIV 	Private Frame 	PrivateFrame(PRIV)
TextFrame	TALB	Album/Movie/Show title	Album_Movie_Showtitle(TALB)
TextFrame	TBPM	BPM (beats per minute)	BPM(TBPM)
TextFrame	TCOM	Composer	Composer(TCOM)
TextFrame	TCON	Content type	Contenttype(TCON)
TextFrame	TCOP	Copyright message	Copyrightmessage(TCOP)
TextFrame	TDAT	Date (replaced by TDRC in v2.4)	Date(TDAT)
TextFrame	TDEN	Encoding time	Encodingtime(TDEN)
TextFrame	TDLY	Playlist delay	Playlistdelay(TDLY)
TextFrame	TDOR	Original release time	Originalreleasetime(TDOR)
TextFrame	TDRC	Recording time	Recordingtime(TDRC)
TextFrame	TDRL	Release time	Releasetime(TDRL)
TextFrame	TDTG	Tagging time	Taggingtime(TDTG)
TextFrame	TENC	Encoded by	Encodedby(TENC)
TextFrame	TEXT	Lyricist/Text writer	Lyricist_Textwriter(TEXT)
TextFrame	TFLT	File type	Filetype(TFLT)
TextFrame	TIME	Time (replaced by TDRC in v2.4)	Time(TIME)
TextFrame	TIPL	Involved people list	Involvedpeoplelist(TIPL)
TextFrame	TIT1	Content group description	Contentgroupdescription(TIT1)
TextFrame	TIT2	Title/songname/content description	Title_songname_contentdescription(TIT2)
TextFrame	TIT3	Subtitle/Description refinement	Subtitle_Descriptionrefinement(TIT3)
TextFrame	TKEY	Initial key	Initialkey(TKEY)
TextFrame	TLAN	Language(s)	Language(TLAN)
TextFrame	TLEN	Length	Length(TLEN)
TextFrame	TMCL	Musician credits list	Musiciancreditslist(TMCL)
TextFrame	TMED	Media type	Mediatype(TMED)
TextFrame	TMOO	Mood	Mood(TMOO)
TextFrame	TOAL	Original album/movie/show title	Originalalbum_movie_showtitle(TOAL)
TextFrame	TOFN	Original filename	Originalfilename(TOFN)
TextFrame	TOLY	Original lyricist(s)/text writer(s)	Originallyricist_textwriter(TOLY)
TextFrame	TOPE	Original artist(s)/performer(s)	Originalartist_performer(TOPE)
TextFrame	TORY	Original release year (replaced by TDOR in v2.4)	Originalreleaseyear(TORY)
TextFrame	TOWN	File owner/licensee	Fileowner_licensee(TOWN)
TextFrame	TPE1	Lead performer(s)/Soloist(s)	Leadperformer_Soloist(TPE1)
TextFrame	TPE2	Band/orchestra/accompaniment	Band_orchestra_accompaniment(TPE2)
TextFrame	TPE3	Conductor/performer refinement	Conductor_performerrefinement(TPE3)
TextFrame	TPE4	Interpreted, remixed, or otherwise modified by	Interpreted_remixed(TPE4)
TextFrame	TPOS	Part of a set	Partofaset(TPOS)
TextFrame	TPRO	Produced notice	Producednotice(TPRO)
TextFrame	TPUB	Publisher	Publisher(TPUB)
TextFrame	TRCK	Track number/Position in set	Tracknumber_Positioninset(TRCK)
TextFrame	TRDA	Recording dates (replaced by TDRC in v2.4)	Recordingdates(TRDA)
TextFrame	TRSN	Internet radio station name	Internetradiostationname(TRSN)
TextFrame	TRSO	Internet radio station owner	Internetradiostationowner(TRSO)
TextFrame	TSIZ	Size (deprecated in v2.4)	Size(TSIZ)
TextFrame	TSOA	Album sort order	Albumsortorder(TSOA)
TextFrame	TSOP	Performer sort order	Performersortorder(TSOP)
TextFrame	TSOT	Title sort order	Titlesortorder(TSOT)
TextFrame	TSRC	ISRC (international standard recording code)	ISRC(TSRC)
TextFrame	TSSE	Software/Hardware and settings used for encoding	Software_HardEnc(TSSE)
TextFrame	TSST	Set subtitle	Setsubtitle(TSST)
UniqueFileIdentifierFrame	UFID 	Unique file identifier 	Uniquefileidentifier(UFID)
UnsynchronisedLyricsFrame	USLT 	Unsychronized lyric/text transcription 	Unsychronizedlyric_texttranscription(USLT)
UrlLinkFrame	WCOM	Commercial information	Commercialinformation(WCOM)
UrlLinkFrame	WCOP	Copyright/Legal information	Copyright_Legalinformation(WCOP)
UrlLinkFrame	WOAF	Official audio file webpage	Officialaudiofilewebpage(WOAF)
UrlLinkFrame	WOAR	Official artist/performer webpage	Officialartist_performerwebpage(WOAR)
UrlLinkFrame	WOAS	Official audio source webpage	Officialaudiosourcewebpage(WOAS)
UrlLinkFrame	WORS	Official internet radio station homepage	Officialinternetradiostationhomepage(WORS)
UrlLinkFrame	WPAY	Payment	Payment(WPAY)
UrlLinkFrame	WPUB	Publishers official webpage	Publishersofficialwebpage(WPUB)
UserDefinedTextFrame	TXXX 	User defined Text 	UserdefinedText(TXXX)
UserDefinedUrlLinkFrame	WXXX 	User URLs 	UserURLs(WXXX)
///
mp3Fields.Add(new Mp3Field{Active = true, Description = "xxx4", DetailedDescription = "xxx3", FrameType = new xxx1(), IdV1_Compatible = false, Index = yyy, TagName = "xxx2", Valor = null});
